Symbol,Company,Headquarter,Year First Added
MMM,Industrials,"Saint Paul, Minnesota",1957
AOS,Industrials,"Milwaukee, Wisconsin",2017
ABT,Health Care,"North Chicago, Illinois",1957
ABBV,Health Care,"North Chicago, Illinois",2012
ACN,Information Technology,"Dublin, Ireland",2011
ADBE,Information Technology,"San Jose, California",1997
AMD,Information Technology,"Santa Clara, California",2017
AES,Utilities,"Arlington, Virginia",1998
AFL,Financials,"Columbus, Georgia",1999
A,Health Care,"Santa Clara, California",2000
APD,Materials,"Allentown, Pennsylvania",1985
ABNB,Consumer Discretionary,"San Francisco, California",2023
AKAM,Information Technology,"Cambridge, Massachusetts",2007
ALB,Materials,"Charlotte, North Carolina",2016
ARE,Real Estate,"Pasadena, California",2017
ALGN,Health Care,"Tempe, Arizona",2017
ALLE,Industrials,"Dublin, Ireland",2013
LNT,Utilities,"Madison, Wisconsin",2016
ALL,Financials,"Northbrook, Illinois",1995
GOOGL,Communication Services,"Mountain View, California",2014
GOOG,Communication Services,"Mountain View, California",2006
MO,Consumer Staples,"Richmond, Virginia",1957
AMZN,Consumer Discretionary,"Seattle, Washington",2005
AMCR,Materials,"Warmley, Bristol, United Kingdom",2019
AEE,Utilities,"St. Louis, Missouri",1991
AAL,Industrials,"Fort Worth, Texas",2015
AEP,Utilities,"Columbus, Ohio",1957
AXP,Financials,"New York City, New York",1976
AIG,Financials,"New York City, New York",1980
AMT,Real Estate,"Boston, Massachusetts",2007
AWK,Utilities,"Camden, New Jersey",2016
AMP,Financials,"Minneapolis, Minnesota",2005
AME,Industrials,"Berwyn, Pennsylvania",2013
AMGN,Health Care,"Thousand Oaks, California",1992
APH,Information Technology,"Wallingford, Connecticut",2008
ADI,Information Technology,"Wilmington, Massachusetts",1999
ANSS,Information Technology,"Canonsburg, Pennsylvania",2017
AON,Financials,"London, UK",1996
APA,Energy,"Houston, Texas",1997
AAPL,Information Technology,"Cupertino, California",1982
AMAT,Information Technology,"Santa Clara, California",1995
APTV,Consumer Discretionary,"Dublin, Ireland",2012
ACGL,Financials,"Hamilton, Bermuda",2022
ADM,Consumer Staples,"Chicago, Illinois",1957
ANET,Information Technology,"Santa Clara, California",2018
AJG,Financials,"Rolling Meadows, Illinois",2016
AIZ,Financials,"Atlanta, Georgia",2007
T,Communication Services,"Dallas, Texas",1983
ATO,Utilities,"Dallas, Texas",2019
ADSK,Information Technology,"San Francisco, California",1989
ADP,Industrials,"Roseland, New Jersey",1981
AZO,Consumer Discretionary,"Memphis, Tennessee",1997
AVB,Real Estate,"Arlington, Virginia",2007
AVY,Materials,"Mentor, Ohio",1987
AXON,Industrials,"Scottsdale, Arizona",2023
BKR,Energy,"Houston, Texas",2017
BALL,Materials,"Broomfield, Colorado",1984
BAC,Financials,"Charlotte, North Carolina",1976
BK,Financials,"New York City, New York",1995
BBWI,Consumer Discretionary,"Columbus, Ohio",1983
BAX,Health Care,"Deerfield, Illinois",1972
BDX,Health Care,"Franklin Lakes, New Jersey",1972
BRK.B,Financials,"Omaha, Nebraska",2010
BBY,Consumer Discretionary,"Richfield, Minnesota",1999
BIO,Health Care,"Hercules, California",2020
TECH,Health Care,"Minneapolis, Minnesota",2021
BIIB,Health Care,"Cambridge, Massachusetts",2003
BLK,Financials,"New York City, New York",2011
BX,Financials,"New York City, New York",2023
BA,Industrials,"Arlington, Virginia",1957
BKNG,Consumer Discretionary,"Norwalk, Connecticut",2009
BWA,Consumer Discretionary,"Auburn Hills, Michigan",2011
BSX,Health Care,"Marlborough, Massachusetts",1995
BMY,Health Care,"New York City, New York",1957
AVGO,Information Technology,"Palo Alto, California",2014
BR,Industrials,"Lake Success, New York",2018
BRO,Financials,"Daytona Beach, Florida",2021
BF.B,Consumer Staples,"Louisville, Kentucky",1982
BLDR,Industrials,"Irving, Texas",2023
BG,Consumer Staples,"Chesterfield, Missouri",2023
BXP,Real Estate,"Boston, Massachusetts",2006
CDNS,Information Technology,"San Jose, California",2017
CZR,Consumer Discretionary,"Reno, Nevada",2021
CPT,Real Estate,"Houston, Texas",2022
CPB,Consumer Staples,"Camden, New Jersey",1957
COF,Financials,"Tysons Corner, Virginia",1998
CAH,Health Care,"Dublin, Ohio",1997
KMX,Consumer Discretionary,"Richmond, Virginia",2010
CCL,Consumer Discretionary,"Miami, Florida",1998
CARR,Industrials,"Palm Beach Gardens, Florida",2020
CTLT,Health Care,"Somerset, New Jersey",2020
CAT,Industrials,"Irving, Texas",1957
CBOE,Financials,"Chicago, Illinois",2017
